id,name,genre,artists,album,popularity,duration_ms,explicit,track_name_raw,artist_name_raw,track_name_norm,artist_name_norm,track_artist_key
0iommCWje5CIGx3Atr9dVr,GERMANY (Ukraine Pt. 2),german,"Jay Hound, SweepersENT, Jay5ive",GERMANY (Ukraine Pt. 2),46,131317,True,GERMANY (Ukraine Pt. 2),"Jay Hound, SweepersENT, Jay5ive",germany ukraine pt 2,jay hound sweepersent jay5ive,germany ukraine pt 2 | jay hound sweepersent jay5ive
6ir1a1PkFtlsymnxPvPVSA,German Lullaby - Piano / Nature Instrumental,german,The Kiboomers,Baby Lullabies: Nature Sounds Piano Sleep Music,19,170000,False,German Lullaby - Piano / Nature Instrumental,The Kiboomers,german lullaby piano nature instrumental,the kiboomers,german lullaby piano nature instrumental | the kiboomers
2WpIFDreMCm2TvSwAeOihA,Germany 86',german,ScHoolboy Q,BLUE LIPS,43,126961,True,Germany 86',ScHoolboy Q,germany 86,schoolboy q,germany 86 | schoolboy q
1gxOACFtWgqtHNRHjeRC7g,German,german,Lolo,Talk,18,128082,False,German,Lolo,german,lolo,german | lolo
4RxVuV92McO0brgICAtfQx,Erika,german,Young Adult,Erika,51,178549,True,Erika,Young Adult,erika,young adult,erika | young adult
4yPEdX4KdqujBwQWlzhBMu,German Cars,german,Matt Nathanson,German Cars,36,201453,False,German Cars,Matt Nathanson,german cars,matt nathanson,german cars | matt nathanson
52BiOQgM6rVtf7ciHLrLk8,Lesson 1 - Basics,german,Henry N. Raymond,Learn in Your Car: German Level - 1,22,223360,False,Lesson 1 - Basics,Henry N. Raymond,lesson 1 basics,henry n raymond,lesson 1 basics | henry n raymond
2moegWPifiDUaZ8Ye9uLQq,National Anthem of the Ussr,german,The Red Army Choir,The Best Of The Red Army Choir,43,224720,False,National Anthem of the Ussr,The Red Army Choir,national anthem of the ussr,the red army choir,national anthem of the ussr | the red army choir
7cwLbWHs42c8JmrW9BJZos,German,german,EO,German,56,170825,False,German,EO,german,eo,german | eo
3KeEGENVARXdRKsBEuUZuB,German Lullaby,german,Your Baby Sleep Help,Your Baby Sleep Help - Through the Night,11,114103,False,German Lullaby,Your Baby Sleep Help,german lullaby,your baby sleep help,german lullaby | your baby sleep help
15kI6BeM3vS7SqeECZqsze,"Germany National Anthem ""Das Deutschlandlied""",german,National Anthem Band,World Cup: National Anthems,22,80993,False,"Germany National Anthem ""Das Deutschlandlied""",National Anthem Band,germany national anthem das deutschlandlied,national anthem band,germany national anthem das deutschlandlied | national anthem band
0MWRCYNhCgJhFHAj92fbiH,2 Am,german,German GS,2 Am,14,163125,True,2 Am,German GS,2 am,german gs,2 am | german gs
5NSQWvmoY1wrCfDDe07RcV,German Love,german,STRFKR,Starfucker,31,212693,False,German Love,STRFKR,german love,strfkr,german love | strfkr
0cVAauRZjNqSScQYtrzHvT,German Dance Lullaby Arr. For Grand Piano,german,Dream Presence,German Dance Lullaby Arr. For Grand Piano,27,62385,False,German Dance Lullaby Arr. For Grand Piano,Dream Presence,german dance lullaby arr for grand piano,dream presence,german dance lullaby arr for grand piano | dream presence
4CtQlS1NxP94RwYP7Jbr0p,German,german,No Money Enterprise,German,45,234791,True,German,No Money Enterprise,german,no money enterprise,german | no money enterprise
7dfKIw7EbXEyqsba0foihh,Everything Is Scary,german,German Error Message,Haunts,47,112213,False,Everything Is Scary,German Error Message,everything is scary,german error message,everything is scary | german error message
4bK7qn2ROYnfquXp5ab44z,Introduction,german,Henry N. Raymond,Learn in Your Car: German Level - 1,15,108991,False,Introduction,Henry N. Raymond,introduction,henry n raymond,introduction | henry n raymond
3E9O3vpfXrRRzQjI3X0mDk,German,german,Prod By Chocolate,Four Chargers,14,67250,False,German,Prod By Chocolate,german,prod by chocolate,german | prod by chocolate
4PbrxFKJg5rLkZ77vKhhY9,Amantes Escondidos,german,Germán Montero,Pensando En Ti,54,173226,False,Amantes Escondidos,Germán Montero,amantes escondidos,germán montero,amantes escondidos | germán montero
0sHR6FmYLqKn2ZzaZnWlvl,Alemán - German,german,The Earbookers,Learn Spanish in Your Sleep: Forest (Level 1),11,36850,False,Alemán - German,The Earbookers,alemán german,the earbookers,alemán german | the earbookers
77T1nmYZEkaVqe7X3vFO1j,Alemania - Germany,german,The Earbookers,Learn Spanish in Your Sleep: Forest (Level 1),12,38758,False,Alemania - Germany,The Earbookers,alemania germany,the earbookers,alemania germany | the earbookers
7wvfVHob1ReIfJVWlSEeyT,German,german,Kola,Dope,18,128082,False,German,Kola,german,kola,german | kola
0A5OiD8Ze3oLs29aHmKN9h,"Six German Dances, K. 567: No. 1 in B-Flat Major",german,"Wolfgang Amadeus Mozart, Orpheus Chamber Orchestra",An Orchestral Weekend,15,95666,False,"Six German Dances, K. 567: No. 1 in B-Flat Major","Wolfgang Amadeus Mozart, Orpheus Chamber Orchestra",six german dances k 567 no 1 in bflat major,wolfgang amadeus mozart orpheus chamber orchestra,six german dances k 567 no 1 in bflat major | wolfgang amadeus mozart orpheus chamber orchestra
6YM3kzvIRC2MYqoAQTCBtY,Protection II,german,German Error Message,Mend,10,203070,False,Protection II,German Error Message,protection ii,german error message,protection ii | german error message
4ZR9ZVndnfhMlcHdEkXdTs,German,german,Maya Badian,Maya Badian: Music Inspired by 24 Nations,14,62128,False,German,Maya Badian,german,maya badian,german | maya badian
0jtIvK6kaU56lvpsZDlDRx,"12 German Dances, WoO 8: 7. German Dance in C Major",german,"Ludwig van Beethoven, Academy of St. Martin in the Fields, Sir Neville Marriner",An Orchestral Weekend,13,92786,False,"12 German Dances, WoO 8: 7. German Dance in C Major","Ludwig van Beethoven, Academy of St. Martin in the Fields, Sir Neville Marriner",12 german dances woo 8 7 german dance in c major,ludwig van beethoven academy of st martin in the fields sir neville marriner,12 german dances woo 8 7 german dance in c major | ludwig van beethoven academy of st martin in the fields sir neville marriner
